positif,dirawat,sembuh,meninggal,positif_kumulatif,dirawat_kumulatif,sembuh_kumulatif,meninggal_kumulatif,lastUpdate,tanggal
2,2,0,0,2,2,0,0,1583107200000,2020-03-02T00:00:00.000Z
0,0,0,0,2,2,0,0,1583193600000,2020-03-03T00:00:00.000Z
0,0,0,0,2,2,0,0,1583280000000,2020-03-04T00:00:00.000Z
0,0,0,0,2,2,0,0,1583366400000,2020-03-05T00:00:00.000Z
2,2,0,0,4,4,0,0,1583452800000,2020-03-06T00:00:00.000Z
0,0,0,0,4,4,0,0,1583539200000,2020-03-07T00:00:00.000Z
2,2,0,0,6,6,0,0,1583625600000,2020-03-08T00:00:00.000Z
13,13,0,0,19,19,0,0,1583712000000,2020-03-09T00:00:00.000Z
8,6,2,0,27,25,2,0,1583798400000,2020-03-10T00:00:00.000Z
7,6,0,1,34,31,2,1,1583884800000,2020-03-11T00:00:00.000Z
0,0,0,0,34,31,2,1,1583971200000,2020-03-12T00:00:00.000Z
35,32,0,3,69,63,2,4,1584057600000,2020-03-13T00:00:00.000Z
27,20,6,1,96,83,8,5,1584144000000,2020-03-14T00:00:00.000Z
21,21,0,0,117,104,8,5,1584230400000,2020-03-15T00:00:00.000Z
17,17,0,0,134,121,8,5,1584316800000,2020-03-16T00:00:00.000Z
38,37,1,0,172,158,9,5,1584403200000,2020-03-17T00:00:00.000Z
55,39,2,14,227,197,11,19,1584489600000,2020-03-18T00:00:00.000Z
82,72,4,6,309,269,15,25,1584576000000,2020-03-19T00:00:00.000Z
60,51,2,7,369,320,17,32,1584662400000,2020-03-20T00:00:00.000Z
81,72,3,6,450,392,20,38,1584748800000,2020-03-21T00:00:00.000Z
64,45,9,10,514,437,29,48,1584835200000,2020-03-22T00:00:00.000Z
65,63,1,1,579,500,30,49,1584921600000,2020-03-23T00:00:00.000Z
106,100,0,6,685,600,30,55,1585008000000,2020-03-24T00:00:00.000Z
105,101,1,3,790,701,31,58,1585094400000,2020-03-25T00:00:00.000Z
103,79,4,20,893,780,35,78,1585180800000,2020-03-26T00:00:00.000Z
153,133,11,9,1046,913,46,87,1585267200000,2020-03-27T00:00:00.000Z
109,81,13,15,1155,994,59,102,1585353600000,2020-03-28T00:00:00.000Z
130,113,5,12,1285,1107,64,114,1585440000000,2020-03-29T00:00:00.000Z
129,110,11,8,1414,1217,75,122,1585526400000,2020-03-30T00:00:00.000Z
114,94,6,14,1528,1311,81,136,1585612800000,2020-03-31T00:00:00.000Z
149,106,22,21,1677,1417,103,157,1585699200000,2020-04-01T00:00:00.000Z
113,91,9,13,1790,1508,112,170,1585785600000,2020-04-02T00:00:00.000Z
196,163,22,11,1986,1671,134,181,1585872000000,2020-04-03T00:00:00.000Z
106,80,16,10,2092,1751,150,191,1585958400000,2020-04-04T00:00:00.000Z
181,160,14,7,2273,1911,164,198,1586044800000,2020-04-05T00:00:00.000Z
218,179,28,11,2491,2090,192,209,1586131200000,2020-04-06T00:00:00.000Z
247,223,12,12,2738,2313,204,221,1586217600000,2020-04-07T00:00:00.000Z
218,181,18,19,2956,2494,222,240,1586304000000,2020-04-08T00:00:00.000Z
337,267,30,40,3293,2761,252,280,1586390400000,2020-04-09T00:00:00.000Z
219,163,30,26,3512,2924,282,306,1586476800000,2020-04-10T00:00:00.000Z
330,305,4,21,3842,3229,286,327,1586563200000,2020-04-11T00:00:00.000Z
399,280,73,46,4241,3509,359,373,1586649600000,2020-04-12T00:00:00.000Z
316,269,21,26,4557,3778,380,399,1586736000000,2020-04-13T00:00:00.000Z
282,176,46,60,4839,3954,426,459,1586822400000,2020-04-14T00:00:00.000Z
297,267,20,10,5136,4221,446,469,1586908800000,2020-04-15T00:00:00.000Z
380,251,102,27,5516,4472,548,496,1586995200000,2020-04-16T00:00:00.000Z
407,324,59,24,5923,4796,607,520,1587081600000,2020-04-17T00:00:00.000Z
325,286,24,15,6248,5082,631,535,1587168000000,2020-04-18T00:00:00.000Z
327,225,55,47,6575,5307,686,582,1587254400000,2020-04-19T00:00:00.000Z
185,116,61,8,6760,5423,747,590,1587340800000,2020-04-20T00:00:00.000Z
375,254,95,26,7135,5677,842,616,1587427200000,2020-04-21T00:00:00.000Z
283,193,71,19,7418,5870,913,635,1587513600000,2020-04-22T00:00:00.000Z
357,298,47,12,7775,6168,960,647,1587600000000,2020-04-23T00:00:00.000Z
436,352,42,42,8211,6520,1002,689,1587686400000,2020-04-24T00:00:00.000Z
396,325,40,31,8607,6845,1042,720,1587772800000,2020-04-25T00:00:00.000Z
275,187,65,23,8882,7032,1107,743,1587859200000,2020-04-26T00:00:00.000Z
214,148,44,22,9096,7180,1151,765,1587945600000,2020-04-27T00:00:00.000Z
415,304,103,8,9511,7484,1254,773,1588032000000,2020-04-28T00:00:00.000Z
260,112,137,11,9771,7596,1391,784,1588118400000,2020-04-29T00:00:00.000Z
347,208,131,8,10118,7804,1522,792,1588204800000,2020-04-30T00:00:00.000Z
433,356,69,8,10551,8160,1591,800,1588291200000,2020-05-01T00:00:00.000Z
292,187,74,31,10843,8347,1665,831,1588377600000,2020-05-02T00:00:00.000Z
349,124,211,14,11192,8471,1876,845,1588464000000,2020-05-03T00:00:00.000Z
395,298,78,19,11587,8769,1954,864,1588550400000,2020-05-04T00:00:00.000Z
484,233,243,8,12071,9002,2197,872,1588636800000,2020-05-05T00:00:00.000Z
367,224,120,23,12438,9226,2317,895,1588723200000,2020-05-06T00:00:00.000Z
338,239,64,35,12776,9465,2381,930,1588809600000,2020-05-07T00:00:00.000Z
336,210,113,13,13112,9675,2494,943,1588896000000,2020-05-08T00:00:00.000Z
533,404,113,16,13645,10079,2607,959,1588982400000,2020-05-09T00:00:00.000Z
387,282,91,14,14032,10361,2698,973,1589068800000,2020-05-10T00:00:00.000Z
233,32,183,18,14265,10393,2881,991,1589155200000,2020-05-11T00:00:00.000Z
484,286,182,16,14749,10679,3063,1007,1589241600000,2020-05-12T00:00:00.000Z
689,444,224,21,15438,11123,3287,1028,1589328000000,2020-05-13T00:00:00.000Z
568,322,231,15,16006,11445,3518,1043,1589414400000,2020-05-14T00:00:00.000Z
490,172,285,33,16496,11617,3803,1076,1589500800000,2020-05-15T00:00:00.000Z
